marca,values
3c79194a-b8b9-40b1-8725-2eb6c6038d15,1
47972e90-e80a-4472-9396-f6d2b69fb7b8,1
97a208d1-6dc8-4198-9638-0f37233cc66e,1
667cc453-9ac1-42f1-993b-c0264065f6df,1
21ac889e-d515-417f-961c-5497e0d3c58e,1
1b723b3f-8627-4517-8a73-282f5376e18a,1
a9781aba-c1a3-4bf5-9c50-26cc60e7d4cf,1
a5905093-f8e4-44cc-971a-a12403411c49,1
0d078cd8-4094-47c9-869b-59a7188ad2d6,1
e3e1f893-b7c1-4f90-a5b9-7478ce66d757,1
77940ef8-8086-4745-ae52-e8a6a14a05f9,1
1558d3da-fe65-414c-947d-fb95f53172ac,1
3a47b681-f4c1-4af0-8ad9-a7300ed1a204,1
